,City,Lats,Lngs,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,clyde river,70.4692,-68.5914,-26.87,76,75,3.09,CA,1668918569
369,nurota,40.5614,65.6886,10.73,71,100,2.8,UZ,1668918569
370,dakar,14.6937,-17.4441,22.49,66,79,9.24,SN,1668918570
371,moramanga,-18.9333,48.2,20.78,87,57,1.13,MG,1668918570
372,lavrentiya,65.5833,-171.0,-4.56,86,99,5.31,RU,1668918571
373,goba,7.0167,39.9833,7.86,62,3,1.81,ET,1668918572
374,karratha,-20.7377,116.8463,32.03,22,95,9.54,AU,1668918572
375,tashtyp,52.7939,89.8983,-3.4,84,100,6.04,RU,1668918573
376,zhuji,29.7188,120.2423,19.23,77,88,1.82,CN,1668918573
377,bengkulu,-3.8004,102.2655,27.86,71,96,4.23,ID,1668918574
378,chokurdakh,70.6333,147.9167,-24.25,97,100,3.97,RU,1668918574
379,okha,53.5739,142.9478,0.75,84,100,10.03,RU,1668918575
380,mehamn,71.0357,27.8492,1.97,75,100,3.6,NO,1668918575
381,korem,12.5058,39.5228,9.54,59,22,0.87,ET,1668918576
382,kirakira,-10.4544,161.9205,27.99,80,100,3.34,SB,1668918576
383,lasa,46.6166,10.7002,-1.1,88,81,2.73,IT,1668918577
384,ancud,-41.8697,-73.8203,6.51,80,4,3.29,CL,1668918577
385,nizwa,22.9333,57.5333,23.91,35,0,0.5,OM,1668918578
386,sovetskaya gavan,48.9723,140.2878,4.34,69,100,6.88,RU,1668918578
387,viedma,-40.8135,-62.9967,14.98,50,95,2.93,AR,1668918579
388,alice springs,-23.7,133.8833,27.75,18,32,5.66,AU,1668918579
389,wanxian,30.8039,108.3897,20.13,62,0,2.16,CN,1668918580
390,alma,48.5501,-71.6491,-2.44,92,100,2.97,CA,1668918580
391,tursunzoda,38.5144,68.2333,10.5,54,67,2.05,TJ,1668918581
392,kosamba,21.4833,72.95,25.84,33,0,3.02,IN,1668918582
393,maniitsoq,65.4167,-52.9,-5.33,79,62,6.36,GL,1668918582
394,lac du bonnet,50.2536,-96.0612,-14.25,95,100,3.1,CA,1668918583
395,kurilsk,45.2333,147.8833,5.4,66,37,5.06,RU,1668918583
396,oranjemund,-28.55,16.4333,13.67,79,80,3.93,NA,1668918584
397,santa rosa,14.3122,121.1114,30.8,77,100,6.35,PH,1668918535
398,san quintin,30.4833,-115.95,15.86,57,0,2.49,MX,1668918341
399,vestmanna,62.1564,-7.1664,6.51,93,100,11.32,FO,1668918585
400,tra vinh,9.9347,106.3453,22.57,97,100,3.14,VN,1668918565
401,nelson bay,-32.7167,152.15,27.88,28,0,6.71,AU,1668918586
402,muroto,33.2833,134.15,19.17,72,68,8.33,JP,1668918586
403,pangai,-19.8,-174.35,25.76,67,45,2.02,TO,1668918587
404,kroya,-7.6331,109.2461,29.39,70,73,4.91,ID,1668918587
405,qostanay,53.1667,63.5833,-22.84,84,0,1.0,KZ,1668918587
406,jinji,23.2281,110.8261,27.53,52,94,2.57,CN,1668918588
407,krizevci,46.0219,16.5425,1.93,95,100,3.44,HR,1668918588
408,hay river,60.8156,-115.7999,-10.01,73,40,2.57,CA,1668918589
409,grand forks,47.9417,-97.4337,-8.04,86,100,4.63,US,1668918555
410,naica,27.85,-105.4833,7.36,70,1,5.34,MX,1668918590
411,anuradhapura,8.3565,80.4173,26.86,72,100,3.41,LK,1668918590
412,eydhafushi,5.1033,73.0708,27.03,75,100,5.38,MV,1668918591
413,arteaga,18.4667,-102.4167,17.59,85,98,1.14,MX,1668918591
414,hofn,64.2539,-15.2082,8.04,89,100,9.39,IS,1668918297
415,bastia,42.6667,9.3333,9.95,89,0,1.54,FR,1668918592
416,oksfjord,70.2396,22.3479,0.1,36,0,2.25,NO,1668918592
417,warrington,53.3925,-2.5802,6.91,96,100,4.12,GB,1668918593
418,east london,-33.0153,27.9116,16.52,63,0,3.6,ZA,1668918593
419,iskilip,40.7353,34.4739,11.6,79,99,1.8,TR,1668918593
420,tokur,53.1333,132.9,-5.3,92,100,0.7,RU,1668918594
421,henties bay,-22.116,14.2845,16.17,83,98,2.95,NA,1668918595
422,iqaluit,63.7506,-68.5145,-20.73,53,0,3.09,CA,1668918595
423,mahendranagar,28.9167,80.3333,21.76,50,22,0.92,NP,1668918596
424,mahina,-17.5065,-149.489,24.87,73,40,4.63,PF,1668918596
425,barabai,-2.5833,115.3833,30.43,68,100,1.12,ID,1668918596
426,mecca,21.4267,39.8261,23.96,68,1,1.15,SA,1668918506
427,powell river,49.8496,-124.5361,3.17,46,100,0.85,CA,1668918597
428,adavere,58.7086,25.8994,-4.01,95,100,1.96,EE,1668918650
429,medea,36.2642,2.7539,4.86,81,67,2.96,DZ,1668918650
430,college,64.8569,-147.8028,-14.92,88,75,1.54,US,1668918613
431,filingue,14.3521,3.3168,21.49,25,88,3.82,NE,1668918651
432,tecpan,14.7623,-90.9947,12.56,98,54,2.12,GT,1668918651
433,eirunepe,-6.6603,-69.8736,24.83,85,94,0.78,BR,1668918652
434,srednekolymsk,67.45,153.6833,-27.7,94,100,3.65,RU,1668918353
435,yeppoon,-23.1333,150.7333,33.88,60,83,6.74,AU,1668918653
436,kabelvag,68.2114,14.4817,-1.99,49,0,2.28,NO,1668918653
437,nome,64.5011,-165.4064,0.04,86,100,2.57,US,1668918653
438,qurayyat,31.3318,37.3428,7.1,61,0,1.54,SA,1668918654
439,asyut,27.181,31.1837,13.1,52,0,1.65,EG,1668918655
440,pisco,-13.7,-76.2167,17.03,88,0,3.6,PE,1668918655
441,puerto carreno,6.189,-67.4859,24.19,91,48,2.25,CO,1668918655
442,solnechnyy,50.7214,136.6319,-0.46,82,50,4.02,RU,1668918656
443,eyl,7.9803,49.8164,27.35,72,100,6.38,SO,1668918656
444,hobyo,5.3505,48.5268,27.75,71,3,4.17,SO,1668918657
445,thai binh,20.45,106.3333,28.86,58,57,4.82,VN,1668918657
446,lekoni,-1.5843,14.2591,21.2,94,99,1.73,GA,1668918721
447,pau dos ferros,-6.1125,-38.2063,24.31,77,54,2.19,BR,1668918722
448,nanakuli,21.3906,-158.1547,25.49,62,0,3.6,US,1668918497
449,las vegas,36.175,-115.1372,8.18,20,0,3.6,US,1668918594
450,uyskoye,54.3775,60.0047,-16.23,94,22,2.25,RU,1668918723
451,strezhevoy,60.7333,77.5889,-19.54,90,100,4.98,RU,1668918723
452,brylivka,46.4248,33.1472,6.77,76,99,6.43,UA,1668918724
453,liverpool,53.4106,-2.9779,6.88,96,100,4.12,GB,1668918724
454,xai-xai,-25.0519,33.6442,22.51,76,100,9.32,MZ,1668918725
455,kabo,7.6994,18.629,20.85,44,24,0.95,CF,1668918725
456,borogontsy,62.6683,131.1683,-26.26,98,34,1.0,RU,1668918726
457,grindavik,63.8424,-22.4338,6.26,87,75,7.72,IS,1668918726
458,mizdah,31.4451,12.9801,12.28,49,83,4.75,LY,1668918727
459,umea,63.8284,20.2597,-2.04,86,100,3.09,SE,1668918727
460,kavaratti,10.5669,72.642,27.18,51,41,1.97,IN,1668918728
461,the valley,18.217,-63.0578,25.01,74,5,9.37,AI,1668918709
462,honningsvag,70.9821,25.9704,0.86,86,100,1.54,NO,1668918728
463,tessalit,20.1986,1.0114,19.7,16,80,3.4,ML,1668918729
464,chilibre,9.15,-79.6167,24.94,85,81,0.99,PA,1668918729
465,faya,18.3851,42.4509,11.29,56,1,0.88,SA,1668918730
466,bowen,-20.0167,148.2333,28.67,68,40,6.14,AU,1668918731
467,rudnogorsk,57.2639,103.7519,-12.23,76,29,1.59,RU,1668918731
468,morristown,36.214,-83.2949,2.48,44,0,0.89,US,1668918558
469,lakki marwat,32.6079,70.9114,20.37,27,6,1.52,PK,1668918732
470,campagna,40.6653,15.1059,12.44,87,95,1.34,IT,1668918732
471,naze,28.3667,129.4833,21.51,79,84,6.93,JP,1668918733
472,maningrida,-12.0667,134.2667,33.74,50,100,5.55,AU,1668918733
473,tucuman,-26.8241,-65.2226,21.0,94,100,6.17,AR,1668918616
474,davila,18.4726,120.5763,30.99,69,56,5.63,PH,1668918734
475,sampit,-2.5333,112.95,29.52,79,84,1.04,ID,1668918735
476,tautira,-17.7333,-149.15,24.11,82,100,5.43,PF,1668918735
477,arman,59.7,150.1667,-16.66,78,17,2.32,RU,1668918736
478,mandalgovi,45.7625,106.2708,-5.35,34,13,5.11,MN,1668918736
479,samarinda,-0.5,117.15,32.13,54,100,1.74,ID,1668918737
480,shchelkun,56.3034,60.9483,-14.24,78,49,1.84,RU,1668918737
481,cubuk,40.2386,33.0322,1.82,93,75,0.51,TR,1668918738
482,timra,62.487,17.3257,-2.18,86,100,5.14,SE,1668918738
483,luganville,-15.5333,167.1667,27.63,77,59,3.68,VU,1668918739
484,abnub,27.2696,31.1511,13.12,53,0,1.43,EG,1668918739
485,olafsvik,64.8945,-23.7142,6.74,80,80,8.3,IS,1668918740
486,portland,45.5234,-122.6762,2.3,61,0,6.69,US,1668918626
487,yokote,39.3,140.5667,15.09,60,91,4.16,JP,1668918741
488,poronaysk,49.2167,143.1167,3.84,82,100,7.72,RU,1668918741
489,kawalu,-7.3817,108.2082,29.17,63,38,3.06,ID,1668918742
490,touros,-5.1989,-35.4608,25.39,79,100,4.86,BR,1668918715
491,ampanihy,-24.7,44.75,26.06,57,26,5.45,MG,1668918742
492,igboho,8.8333,3.75,21.47,38,100,1.77,NG,1668918743
493,iki-burul,45.8208,44.6472,10.73,82,100,4.35,RU,1668918744
494,carroll,39.5501,-77.0164,-1.1,59,0,3.09,US,1668918676
495,avera,33.194,-82.5271,8.75,51,100,3.8,US,1668918711
496,rapid valley,44.0625,-103.1463,-6.43,67,0,1.79,US,1668918745
497,kudahuvadhoo,2.6708,72.8944,27.65,77,99,6.58,MV,1668918746
498,basoko,1.2391,23.616,21.53,94,74,1.48,CD,1668918746
499,itamarandiba,-17.8572,-42.8589,15.01,98,95,1.22,BR,1668918747
500,tagusao,9.1924,117.8141,29.37,70,100,1.77,PH,1668918747
501,wattegama,6.7989,81.4808,28.16,66,100,1.98,LK,1668918748
502,ixtapa,20.7,-105.2,22.57,83,20,1.54,MX,1668918748
503,buala,-8.145,159.5921,28.53,73,62,3.83,SB,1668918749
504,kochinda,21.7333,84.35,23.12,36,97,1.48,IN,1668918749
505,atar,20.5169,-13.0499,18.59,40,0,3.75,MR,1668918750
506,conakry,9.538,-13.6773,26.11,64,60,1.31,GN,1668918750
507,kumluca,36.3703,30.2869,17.68,77,49,2.32,TR,1668918751
508,esso,55.9333,158.7,-14.01,90,24,2.29,RU,1668918751
509,rojhan,28.6868,69.9534,23.33,22,78,5.23,PK,1668918752
510,ust-barguzin,53.45,108.9833,-10.25,76,90,2.0,RU,1668918752
511,gamba,-2.65,10.0,23.96,87,99,1.66,GA,1668918753
512,yarmolyntsi,49.1924,26.8373,-2.16,97,100,4.46,UA,1668918753
513,kampot,10.6167,104.1833,28.03,81,100,4.72,KH,1668918754
514,faro,37.0194,-7.9322,10.88,93,0,2.57,PT,1668918386
515,caraz,-9.0486,-77.81,17.75,79,79,0.52,PE,1668918754
516,flinders,-34.5833,150.8552,24.96,43,0,4.92,AU,1668918755
517,praia da vitoria,38.7333,-27.0667,18.14,94,75,5.3,PT,1668918755
518,pevek,69.7008,170.3133,-28.26,99,100,3.64,RU,1668918756
519,hastings,50.8552,0.5729,7.46,71,98,6.91,GB,1668918756
520,puri,19.8,85.85,23.29,43,80,5.0,IN,1668918757
521,yishui,35.7847,118.6281,16.08,71,93,2.09,CN,1668918757
522,vao,-22.6667,167.4833,23.03,71,17,4.02,NC,1668918758
523,terra santa,-2.1042,-56.4869,24.41,75,35,1.08,BR,1668918758
524,moyo,3.6609,31.7247,19.08,86,53,0.48,UG,1668918759
525,khagaria,25.5,86.4833,24.34,29,82,2.86,IN,1668918759
526,camabatela,-8.1881,15.375,16.24,99,100,0.53,AO,1668918760
527,laredo,27.5064,-99.5075,7.16,93,100,4.12,US,1668918492
528,balakhninskiy,58.0106,114.2769,-20.07,92,78,0.69,RU,1668918761
529,san joaquin,37.9333,-121.3011,8.15,65,0,0.0,US,1668918761
530,omsukchan,62.5333,155.8,-23.02,80,69,0.93,RU,1668918762
531,suzun,53.7841,82.3116,-13.67,73,96,2.79,RU,1668918762
532,kousseri,12.0769,15.0306,21.89,23,26,3.42,CM,1668918763
533,morondava,-20.2833,44.2833,27.79,68,5,2.4,MG,1668918763
534,kutum,14.2,24.6667,14.16,30,32,2.44,SD,1668918764
535,aguimes,27.9054,-15.4461,18.3,83,75,8.23,ES,1668918764
536,gouyave,12.1646,-61.7296,26.24,77,21,8.4,GD,1668918764
537,cuiaba,-15.5961,-56.0967,28.96,51,0,2.57,BR,1668918508
538,vanimo,-2.6741,141.3028,29.37,72,82,2.41,PG,1668918765
539,cairns,-16.9167,145.7667,31.85,67,43,3.6,AU,1668918708
540,comodoro rivadavia,-45.8667,-67.5,12.92,22,0,6.69,AR,1668918766
541,trinidad,-14.8333,-64.9,27.18,62,17,3.0,BO,1668918766
542,along,28.1667,94.7667,24.72,38,17,0.52,IN,1668918767
543,karaidel,55.8337,56.9069,-11.47,87,11,0.9,RU,1668918767
544,nemuro,43.3236,145.575,7.33,65,35,5.07,JP,1668918768
545,ferry pass,30.5102,-87.2125,8.35,91,100,3.6,US,1668918653
546,fukue,32.6881,128.8419,20.2,68,75,3.6,JP,1668918768
547,mabaruma,8.2,-59.7833,22.36,96,20,1.05,GY,1668918769
548,kaka,37.3482,59.6143,15.53,48,22,0.74,TM,1668918769
549,chlorakas,34.8042,32.4083,14.49,55,0,4.12,CY,1668918770
550,porto novo,6.4965,2.6036,25.9,90,76,1.65,BJ,1668918770
551,dovers,12.8833,-61.1833,26.86,74,12,8.62,VC,1668918771
552,dejen,10.1667,38.1333,12.44,44,10,1.57,ET,1668918771
553,saint-francois,46.4154,3.9054,4.69,93,0,1.03,FR,1668918772
554,almaznyy,48.0448,40.045,1.63,88,91,2.11,RU,1668918772
555,emilio carranza,19.9711,-96.6114,20.62,94,100,6.94,MX,1668918773
556,zhezkazgan,47.8043,67.7144,-2.01,93,100,1.0,KZ,1668918774
557,kamaishi,39.2667,141.8833,13.16,79,97,5.02,JP,1668918774
558,nioro,13.35,-15.75,19.69,17,86,2.74,GM,1668918775
559,masingbi,8.7833,-11.95,20.13,84,86,1.23,SL,1668918775
560,talcahuano,-36.7167,-73.1167,12.82,71,0,4.63,CL,1668918776
561,alekseyevka,50.6309,38.6903,-2.02,92,100,3.89,RU,1668918776
562,maceio,-9.6658,-35.7353,22.69,100,0,2.06,BR,1668918545
563,marsh harbour,26.5412,-77.0636,25.17,81,100,4.84,BS,1668918777
564,huilong,31.8111,121.655,17.18,70,36,5.9,CN,1668918777
565,minot,48.2325,-101.2963,-6.96,68,0,5.66,US,1668918607
566,oriximina,-1.7656,-55.8661,24.52,77,55,1.41,BR,1668918478
567,acatic,20.7833,-102.8833,14.46,76,83,0.9,MX,1668918779
568,florianopolis,-27.6146,-48.5012,18.68,80,20,3.6,BR,1668918779
569,poum,-20.2333,164.0167,25.41,78,73,5.64,NC,1668918780
570,boa vista,2.8197,-60.6733,24.99,88,40,1.54,BR,1668918780
